wordpress: 127.0.0.1 [16/Aug/2019:10:45:01 +0500] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,jquery-ui-core,thickbox,plugin-install,underscore,wp-util,wp-a11y,updates,svg-painter&ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/plugin-install.php" 200 102811 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:08 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/plugin-install.php?s=elem&tab=search&type=term" 499 0 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:09 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/plugin-install.php?s=elementor&tab=search&type=term" 200 2296 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:47 +0500] "GET /wp-admin/themes.php HTTP/1.1" "http://wordpress/wp-admin/plugin-install.php?s=elementor&tab=search&type=term" 200 14221 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:47 +0500] "GET /wp-includes/js/thickbox/thickbox.css?ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/themes.php" 200 2984 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:47 +0500] "GET /wp-admin/css/colors/midnight/colors.min.css?ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/themes.php" 200 11985 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:47 +0500] "GET /wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=7.0.0 HTTP/1.1" "http://wordpress/wp-admin/themes.php" 200 33111 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:47 +0500] "GET /wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5B%5D=,site-icon,l10n,buttons,wp-auth-check&ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/themes.php" 499 0 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:47 +0500] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,thickbox,underscore,backbone,wp-util,wp-backbone,wp-a11y,customize-base,theme,updates,svg-painter&ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/themes.php" 499 0 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:47 +0500] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=jquery-core,jquery-migrate,utils&ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/themes.php" 499 0 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
